day,weather,player,action,status,position,water,food,cash,fixed_payoff
1,sunny,1,move:4,ACTIVE,4,21,25,9535.0,
1,sunny,2,stay,ACTIVE,1,27,33,9480.0,
1,sunny,3,move:5,ACTIVE,5,24,26,9510.0,
2,hot,1,stay,ACTIVE,4,12,16,9535.0,
2,hot,2,stay,ACTIVE,1,18,24,9480.0,
2,hot,3,move:6,ACTIVE,6,6,8,9510.0,
3,sunny,1,move:6,ACTIVE,6,6,8,9535.0,
3,sunny,2,move:5,ACTIVE,5,12,16,9480.0,
3,sunny,3,move:13,FINISHED,0,0,0,,9510.0
4,sunny,1,move:13,FINISHED,0,0,0,,9535.0
4,sunny,2,move:6,ACTIVE,6,6,8,9480.0,
4,sunny,3,inactive,FINISHED,0,0,0,,9510.0
5,sunny,1,inactive,FINISHED,0,0,0,,9535.0
5,sunny,2,move:13,FINISHED,0,0,0,,9480.0
5,sunny,3,inactive,FINISHED,0,0,0,,9510.0
6,sunny,1,inactive,FINISHED,0,0,0,,9535.0
6,sunny,2,inactive,FINISHED,0,0,0,,9480.0
6,sunny,3,inactive,FINISHED,0,0,0,,9510.0
7,hot,1,inactive,FINISHED,0,0,0,,9535.0
7,hot,2,inactive,FINISHED,0,0,0,,9480.0
7,hot,3,inactive,FINISHED,0,0,0,,9510.0
8,hot,1,inactive,FINISHED,0,0,0,,9535.0
8,hot,2,inactive,FINISHED,0,0,0,,9480.0
8,hot,3,inactive,FINISHED,0,0,0,,9510.0
9,hot,1,inactive,FINISHED,0,0,0,,9535.0
9,hot,2,inactive,FINISHED,0,0,0,,9480.0
9,hot,3,inactive,FINISHED,0,0,0,,9510.0
10,hot,1,inactive,FINISHED,0,0,0,,9535.0
10,hot,2,inactive,FINISHED,0,0,0,,9480.0
10,hot,3,inactive,FINISHED,0,0,0,,9510.0
